id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm351214,Long Shot,MOVIE,"When Juan Catalan is arrested for a murder he insists he didn't commit, he builds his case for innocence around unexpected raw footage.",2017,,40,"['documentation', 'sport', 'crime']",['US'],,tt2702692,7.4,7857.0,4.708,7.3
tm324870,Dude,MOVIE,Four best friends negotiate loss and major life changes during the last two weeks of high school.,2018,,90,"['comedy', 'drama']",['US'],,tt3458510,5.2,6873.0,10.798,5.5
tm406111,The Debt Collector,MOVIE,"A classically-trained martial artist goes to work as a debt collector for the mob. The job seems easy enough, until one “client” pulls him into a situation deeper than could ever be expected.",2018,,95,"['action', 'comedy']","['US', 'GB']",,tt7448180,5.8,7541.0,29.382,5.9
ts81918,Sugar Rush,SHOW,"A relentlessly fast-paced baking competition that challenges brilliant bakers to create sweet treats that look and taste amazing – all against the clock. Who will race to the finish and win $10,000?",2018,TV-PG,51,['reality'],['US'],3.0,tt8680560,7.0,1516.0,8.74,7.0
ts85686,The Casketeers,SHOW,"Francis and Kaiora Tipene are the passionate proprietors of Tipene Funerals. This is a unique opportunity to look behind the scenes of their business and into this little-explored but vital service, where our culture's last taboo is being addressed with dignity and aroha.",2018,TV-14,22,"['reality', 'documentation']",['NZ'],5.0,tt8365054,7.4,459.0,3.095,6.3
tm298339,Handsome Devil,MOVIE,A music-mad 16-year-old outcast at a rugby-mad boarding school forms an unlikely friendship with his dashing new roommate.,2017,,95,"['drama', 'comedy', 'sport', 'european']",['IE'],,tt5016946,7.0,14290.0,12.021,7.1
tm245937,Win It All,MOVIE,A gambling addict faces a conflict when entrusted with keeping a bunch of money that isn't his.,2017,,88,['comedy'],['US'],,tt3155328,6.2,9309.0,5.181,5.7
tm464542,Tottaa Pataaka Item Maal,MOVIE,"Four women from Delhi, NCR and Gurgaon, tired of dealing with the incessant fear or rape, decide to teach one man how it feels to be afraid of being raped, on a daily basis.",2018,,107,['drama'],['IN'],,tt9000388,7.6,7911.0,3.231,5.0
tm356742,Trolls Holiday,MOVIE,"When the eternally optimistic Poppy, queen of the Trolls, learns that the Bergens no longer have any holidays on their calendar, she enlists the help of Branch and the rest of the gang on a delightfully quirky mission to fix something that the Bergens don't think is broken.",2017,PG,26,"['fantasy', 'comedy', 'family', 'romance', 'animation']",[],,tt6645614,6.1,2764.0,21.838,6.7
tm351216,Joan Didion: The Center Will Not Hold,MOVIE,"Griffin Dunne’s years-in-the-making documentary portrait of his aunt Joan Didion moves with the spirit of her uncannily lucid writing: the film simultaneously expands and zeroes in, covering a vast stretch of turbulent cultural history with elegance and candor.",2017,,92,['documentation'],['US'],,tt7253506,7.4,2622.0,5.069,7.1
ts83360,The Guest,SHOW,"The story of a psychic, a priest, and a detective who fight unusual crimes committed by strange powers.",2018,TV-MA,66,"['drama', 'crime', 'thriller', 'horror', 'comedy']",['KR'],1.0,tt8801670,8.1,1578.0,7.293,8.2
tm298846,The Incredible Jessica James,MOVIE,"Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date.",2017,,83,"['romance', 'comedy']",['US'],,tt5990342,6.5,7667.0,9.638,6.2
tm414709,Siberia,MOVIE,"Lucas, a diamond trader who travels to Saint Petersburg to arrange a sale, discovers that his Russian business partner has left his hotel and gone to a small Siberian village, so Lucas also heads there to try find him.",2018,R,104,"['romance', 'thriller', 'crime', 'european']","['CA', 'US', 'DE']",,tt6494418,4.3,15369.0,22.0,4.8
ts79045,Ugly Delicious,SHOW,"Star chef David Chang leads friends on a mouthwatering, cross-cultural hunt for the world's most satisfying grub. All the flavor. None of the BS.",2018,TV-MA,51,['documentation'],['US'],2.0,tt7907916,7.8,3539.0,4.452,7.4
tm367250,The Resistance Banker,MOVIE,"In the occupied Netherlands during World War II, banker Walraven van Hall is asked to use his financial contacts to help the Dutch resistance. With his brother Gijs, he comes up with a risky plan to take out huge loans and use the money to finance the Resistance.",2018,R,124,"['drama', 'war', 'european']",['NL'],,tt4610378,6.9,9470.0,12.425,6.7
tm411507,John Mulaney: Kid Gorgeous at Radio City,MOVIE,"John Mulaney relays stories from his childhood and ""SNL,"" eviscerates the value of college and laments getting older in this electric comedy special.",2018,R,64,['comedy'],['US'],,tt8271714,7.9,7933.0,5.009,8.0
ts39016,Girlboss,SHOW,"Sophia is a rebellious, broke anarchist who refuses to grow up. She stumbles upon her passion of selling vintage clothes online and becomes an unlikely businesswoman. As she builds her retail fashion empire, she realizes the value and the difficulty of being the boss of her own life.",2017,TV-MA,27,['comedy'],['US'],1.0,tt5706996,6.9,17848.0,10.009,6.7
ts75749,Because This Is My First Life,SHOW,"Nam Se-Hee is a single man in his early 30s. He has chosen to not marry. He owns his home, but he owes a lot on his mortgage. Yoon Ji-Ho is a single woman in her early 30s. She does not own a home and envies those that do. She has given up on dating due to her financial struggles. Yoon Ji-Ho begins to live at Nam Se-Hee’s house. They become housemates.",2017,TV-14,69,"['drama', 'comedy', 'romance']",['KR'],1.0,tt7278588,8.1,4656.0,17.121,8.6
ts76486,Just Between Lovers,SHOW,Two survivors of a building collapse discover support and love in each other as they overcome the pain of loss and reconstruct a hopeful future.,2017,TV-14,73,"['drama', 'romance']",['KR'],1.0,tt7521898,8.2,1979.0,20.502,8.2
tm327199,The Saint,MOVIE,"International master thief, Simon Templar, also known as The Saint, is asked by a desperate rich man to find his kidnapped daughter. However, in addition to evading the authorities, Simon must face a dangerous adversary from his past.",2017,PG-13,92,"['crime', 'action']",['US'],,tt2569088,4.9,6669.0,19.06,5.3
tm409766,In Darkness,MOVIE,A blind musician hears a murder committed in the apartment upstairs from hers that sends her down a dark path into London's gritty criminal underworld.,2018,,100,['thriller'],"['GB', 'US']",,tt5164184,5.7,13248.0,14.317,6.0
ts79026,The Innocents,SHOW,"When a teenage couple runs away to be together, the extraordinary gift they possess unleashes powerful forces intent on dividing them forever.",2018,TV-MA,46,"['scifi', 'drama', 'horror', 'romance', 'thriller']",['GB'],2.0,tt8021824,6.2,5804.0,20.691,6.1
ts87043,Transformers: Rescue Bots Academy,SHOW,"Five students of the Rescue Bots Training Academy from Cybertron—Hot Shot, Whirl, Medix, Hoist and Wedge—learn to respond to emergency situations and become heroes.",2018,TV-Y,12,"['animation', 'comedy', 'family', 'scifi', 'action']",[],2.0,tt9557812,6.2,108.0,2.572,10.0
ts55194,Bill Nye Saves the World,SHOW,"Bill Nye explores science and its impact on politics, society and pop culture. Each episode tackles a topic from a scientific point of view, dispelling myths, and refuting anti-scientific claims that may be espoused by politicians, religious leaders or titans of industry.",2017,TV-14,32,['comedy'],['US'],3.0,tt6026278,3.5,7233.0,8.356,3.7
ts82892,I Am a Killer,SHOW,Death row inmates convicted of capital murder give a firsthand account of their crimes in this documentary series.,2018,TV-MA,50,"['documentation', 'crime']",['GB'],3.0,tt8300324,7.4,3977.0,5.641,7.2
tm420797,Sierra Burgess Is a Loser,MOVIE,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,2018,PG-13,105,"['romance', 'comedy', 'drama']",['US'],,tt3120280,5.8,38841.0,14.072,6.3
tm438502,Sad Hill Unearthed,MOVIE,"Film fans work to restore the set of the climatic graveyard scene from the iconic spaghetti western “The Good, the Bad and the Ugly,” directed by Sergio Leone in 1966.",2017,,86,"['documentation', 'european']",['ES'],,tt6997426,7.4,1613.0,6.121,7.0
tm411958,Ibiza,MOVIE,She could do the responsible thing. Or she could go to Ibiza with her best friends to chase down a hot DJ. Easy choice.,2018,,94,"['comedy', 'romance']",['US'],,tt3685236,5.2,17517.0,9.813,5.7
tm322243,Shimmer Lake,MOVIE,Shot in reverse day-by-day through a week—a local sheriff embarks on a quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,2017,,83,"['thriller', 'crime', 'drama', 'action', 'history', 'horror', 'romance']","['CA', 'US']",,tt1386691,6.3,14098.0,20.508,5.9
ts75355,Suburra: Blood on Rome,SHOW,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",2017,TV-MA,48,"['drama', 'action', 'crime', 'european']",['IT'],3.0,tt7197684,7.9,14528.0,23.46,7.463
tm305437,Hey Arnold! The Jungle Movie,MOVIE,"When their trip to San Lorenzo takes a turn for the worst, Arnold and his classmate’s only hope of getting home is retracing the dangerous path that led to Arnold's parents' disappearance.",2017,,81,"['animation', 'comedy', 'family', 'fantasy', 'thriller']",['US'],,tt5257726,7.5,3183.0,16.413,7.7
ts76417,Tabula Rasa,SHOW,"A psychological thriller about Mie, a young woman with amnesia who is locked up in a secure psychiatric hospital. Mie is visited by Detective Inspector Wolkers who claims she was the last person seen with the vanished Thomas Spectre. As a witness and prime suspect, she appears to be the sole key to this mysterious disappearance. In order to solve the puzzle and find Thomas, Mie has to reconstruct her lost memories and find her way back through the dark labyrinth of her recent past.",2017,TV-MA,52,"['drama', 'horror', 'thriller', 'european']",['BE'],1.0,tt9389514,8.0,10233.0,7.903,7.8
ts57080,Spirit: Riding Free,SHOW,"In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail.",2017,TV-Y7,23,"['action', 'animation', 'family', 'western', 'comedy', 'drama', 'documentation']",['US'],11.0,tt10687624,6.4,1012.0,15.689,8.3
ts53367,Little Witch Academia,SHOW,"When she was a little girl, Atsuko ""Akko"" Kagari saw a magic show performed by a witch named Shiny Chariot.  From that day on she wanted to be just like her.  Enrolling at Luna Nova Magical Academy and having no magical background, can she become a witch like her idol Shiny Chariot?",2017,TV-PG,25,"['scifi', 'animation', 'comedy', 'action', 'drama', 'family', 'fantasy']",['JP'],1.0,tt6352180,7.9,3147.0,13.06,8.3
tm312577,Fullmetal Alchemist,MOVIE,Two alchemist brothers go on a quest for the Philosopher's Stone after an attempt to revive their dead mother goes horribly wrong.,2017,PG-13,135,"['fantasy', 'scifi', 'action']",['JP'],,tt5607028,5.2,19493.0,15.705,5.3
tm413049,Animal World,MOVIE,"Drifting aimlessly through life, Kaisi has racked up debts of several million having borrowed money from his friends. Lured with the promise of writing it all off, Kaisi leaves his ailing mother and childhood sweetheart Qing to board the ship Destiny and attend a gambling party controlled by the mysterious Anderson. All players join the game with stars. For each game they lose, their opponent captures a star. Everyone is holding daggers behind their backs plotting dirty means by which to overcome their opponents. The game quickly deteriorates into a slaughter and Kaisi must battle save his own skin.",2018,R,125,"['thriller', 'fantasy', 'drama', 'action', 'scifi', 'comedy']",['CN'],,tt9257932,6.4,4447.0,24.922,7.2
ts81885,The Good Cop,SHOW,"Honest cop Tony Jr. gets advice from his unscrupulous father, retired NYPD officer Tony Sr., about everything from his job to his love life.",2018,TV-PG,46,"['drama', 'comedy', 'crime', 'documentation']",['US'],1.0,tt7183074,6.9,5732.0,8.714,6.4
ts80617,The Protector,SHOW,"The epic adventure of Hakan, a young shopkeeper whose modern world gets turned upside down when he learns he’s connected to a secret, ancient order, tasked with protecting Istanbul.",2018,TV-MA,44,"['action', 'fantasy', 'scifi', 'drama']",['TR'],4.0,tt7668518,6.5,34629.0,24.058,7.3
tm346467,Wheelman,MOVIE,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,2017,R,82,"['action', 'crime', 'thriller']",['US'],,tt5723286,6.4,20351.0,15.282,6.1
ts77787,Pop Team Epic,SHOW,"Crude, rude, and a little…cute? Get ready for the larger-than-life attitude of Popuko and Pipimi, the small and tall stars of Pop Team Epic! Based off the bizarre four-panel webcomic by Bukubu Okawa comes a comedy that’ll throw you off with its out-there jokes and intense absurdity. You think you’re ready for these girls? Think again, F#%**er!",2018,TV-MA,23,"['comedy', 'animation']",['JP'],2.0,tt7808370,6.9,844.0,7.074,7.3
ts53101,Voice,SHOW,"It's 3 minutes for hearers, but a life for the callers. A crime thriller chasing even the slightest sounds to rescue people's lives calling for urgent help.",2017,TV-14,63,"['crime', 'thriller', 'action']",['KR'],4.0,tt6212854,7.6,1994.0,17.025,6.9
tm299790,Cristela Alonzo: Lower Classy,MOVIE,"The irrepressible Alonzo skewers Latino stereotypes, pricey luxuries and her mother's tough-love parenting in a night of sly and infectious comedy.",2017,,66,['comedy'],['US'],,tt6550456,6.4,845.0,3.336,6.2
tm219258,Brain on Fire,MOVIE,"Susannah Cahalan, an up-and-coming journalist at the New York Post becomes plagued by voices in her head and seizures, causing a rapid descent into insanity.",2017,PG-13,88,"['drama', 'european']","['CA', 'IE']",,tt3704700,6.6,21444.0,12.009,7.1
ts85034,Patriot Act with Hasan Minhaj,SHOW,"Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series.",2018,TV-MA,25,['comedy'],['US'],6.0,tt8080054,8.2,7327.0,9.203,7.3
tm266652,Bleach,MOVIE,"High school student Ichigo Kurosaki lives an ordinary life, besides being able to see ghosts and the blurry memories of his mother's death under strange circumstances when he was a kid. His peaceful world suddenly breaks as he meets Rukia Kuchiki, a God of Death.",2018,PG-13,108,"['fantasy', 'action']",['JP'],,tt5979872,6.4,11406.0,25.802,6.6
ts82372,The Epic Tales of Captain Underpants,SHOW,Fourth-grade friends George and Harold have a shared love of pranks and comic books -- and turning their principal into an undies-wearing superhero.,2018,TV-Y7,24,"['animation', 'comedy', 'action', 'family']",['US'],4.0,tt7741830,6.6,931.0,11.851,8.5
ts83232,The Mire,SHOW,"The town is shocked with a brutal double murder. The ""Courier"" hands the case to an experienced journalist - Witold Wanycz. At the same time, he learns about the mysterious suicide of two teenagers. Together with Piotr, a young journalist, they start their own investigation.",2018,TV-MA,54,"['drama', 'crime', 'thriller']",['PL'],2.0,tt8855592,7.0,4355.0,13.039,6.8
tm244368,You Get Me,MOVIE,"After arguing with his girlfriend, Ali, Tyler lands in the arms of sexy new girl, Holly. The next morning, he finds that not only does Ali agree to take him back, but Holly is a new student at their school and is dead set on her new man.",2017,,89,"['thriller', 'romance', 'drama', 'crime']",['US'],,tt5539054,4.7,12740.0,20.089,5.6
ts77799,Rotten,SHOW,This docuseries travels deep into the heart of the food supply chain to reveal unsavory truths and expose hidden forces that shape what we eat.,2018,TV-MA,56,['documentation'],['US'],2.0,tt7763662,7.2,3716.0,6.812,7.4
ts86814,Murder Mountain,SHOW,"In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again.",2018,TV-MA,43,"['crime', 'documentation']",['US'],1.0,tt9078908,6.8,3134.0,2.589,6.9
tm419733,"My Teacher, My Obsession",MOVIE,"Riley is struggling to make friends after transferring to a new high school where her father, Chris, is an English teacher. When she meets Kyla, they quickly becomes close friends. However, the friendship takes a strange turn when Riley learns that Kyla is obsessed with her dad. Will Kyla successfully seduce Chris and start a twisted new life with him by removing everyone in her path, or will Riley be able to save her father from Kyla’s treacherous plot before it’s too late?",2018,,105,"['thriller', 'drama']",['US'],,tt6997574,4.4,2354.0,25.407,5.0
tm352774,Voyeur,MOVIE,"Journalism icon Gay Talese reports on Gerald Foos, the Colorado motel owner who allegedly secretly watched his guests with the aid of specially designed ceiling vents, peering down from an ""observation platform"" he built in the motel's attic.",2017,R,95,"['documentation', 'crime', 'drama']",['US'],,tt3465276,6.1,6097.0,9.593,6.0
tm406881,Bathtubs Over Broadway,MOVIE,"When he started as a comedy writer for the Late Show with David Letterman, Steve Young had few interests and not many friends outside of his day job. But while gathering material for a segment on the show, Steve stumbled onto a few vintage record albums that would change his life forever.",2018,PG-13,87,"['comedy', 'music', 'documentation']",['US'],,tt6029778,7.6,1089.0,2.742,8.0
ts80720,Scissor Seven,SHOW,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",2018,TV-PG,16,"['comedy', 'drama', 'action', 'animation', 'fantasy', 'romance']",['CN'],3.0,tt11503082,8.6,311.0,82.499,8.9
tm317110,Psychokinesis,MOVIE,"An ordinary guy suddenly finds he has superpowers he can use to help his spirited daughter and the people around them, but he also runs into trouble in the process.",2018,,101,"['fantasy', 'action', 'comedy']",['KR'],,tt6890582,5.9,5643.0,23.968,6.157
ts78507,Alexa & Katie,SHOW,Lifelong best friends Alexa and Katie are eagerly anticipating the start of their freshman year of high school. The pals confront a crisis that leaves them feeling like outsiders at a time when what seems to matter most is fitting in.,2018,TV-Y7,25,"['comedy', 'drama']",['US'],4.0,tt6916746,7.4,4885.0,32.166,8.3
ts90994,Chip and Potato,SHOW,"Lovable pug Chip starts kindergarten, makes new friends and tries new things -- with a little help from Potato, her secret mouse pal.",2018,TV-Y,17,['animation'],['US'],3.0,tt9897038,6.3,158.0,8.971,9.8
tm437608,Adam Sandler: 100% Fresh,MOVIE,"Adam Sandler takes his comical musical musings back out on the road, from comedy clubs to concert halls to one very unsuspecting subway station.",2018,R,73,"['comedy', 'music']",['US'],,tt9036126,7.5,5178.0,12.969,7.3
ts85175,Girl from Nowhere,SHOW,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn.",2018,TV-MA,44,"['drama', 'thriller', 'crime', 'fantasy', 'horror']",['TH'],2.0,tt8824648,7.6,4201.0,45.88,8.5
tm407827,Girl,MOVIE,A promising teenage dancer enrolls at a prestigious ballet school while grappling with her gender dysphoria.,2018,R,105,"['drama', 'european']","['NL', 'BE']",,tt8254556,7.1,14356.0,15.457,7.2
tm326723,The Polka King,MOVIE,Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.,2017,,95,"['comedy', 'music', 'drama']",['US'],,tt5539052,5.9,10568.0,8.066,5.515
ts81757,The House of Flowers,SHOW,The outward perfection of a family-run flower business hides a dark side rife with dysfunctional secrets in this darkly humorous comedy series.,2018,TV-MA,31,"['comedy', 'drama']",['MX'],3.0,tt8387348,7.6,7813.0,31.664,7.8
tm241990,Blame!,MOVIE,"In the distant technological future, civilization has reached its ultimate Net-based form. An ""infection"" in the past caused the automated systems to spiral out of order, resulting in a multi-leveled city structure that replicates itself infinitely in all directions. Now humanity has lost access to the city's controls, and is hunted down and purged by the defense system known as the Safeguard. In a tiny corner of the city, a little enclave known as the Electro-Fishers is facing eventual extinction, trapped between the threat of the Safeguard and dwindling food supplies. A girl named Zuru goes on a journey to find food for her village, only to inadvertently cause doom when an observation tower senses her and summons a Safeguard pack to eliminate the threat. With her companions dead and all escape routes blocked, the only thing that can save her now is the sudden arrival of Killy the Wanderer, on his quest for the Net Terminal Genes, the key to restoring order to the world.",2017,PG-13,106,"['scifi', 'animation', 'action', 'drama', 'thriller']",['JP'],,tt6574146,6.6,8044.0,31.452,6.4
tm285356,First They Killed My Father,MOVIE,A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia.,2017,R,136,"['war', 'drama', 'history']","['US', 'KH']",,tt4882376,7.2,17871.0,11.844,7.4
ts75157,The Magic School Bus Rides Again,SHOW,Ms. Frizzle's sister takes her class on a slew of wild science adventures in this update of the beloved animated show.,2017,TV-Y,25,"['animation', 'family', 'fantasy']",['US'],3.0,tt3869122,6.2,825.0,10.885,6.3
tm324820,MFKZ,MOVIE,"Angelino is just one of thousands of deadbeats living in Dark Meat City. But an otherwise unremarkable scooter accident caused by a beautiful, mysterious stranger is about to transform his life... into a waking nightmare! He starts seeing monstrous forms prowling around all over the city... Is Angelino losing his mind, or could an alien invasion really be happening this quietly...?",2018,R,95,"['scifi', 'comedy', 'thriller', 'animation', 'action', 'european']","['FR', 'JP']",,tt4717402,6.7,4412.0,7.664,7.1
ts53693,The Worst Witch,SHOW,"Join Mildred Hubble in CBBC's adaptation of The Worst Witch books, written by Jill Murphy.",2017,TV-Y7,28,"['scifi', 'family', 'fantasy', 'european']",['GB'],4.0,tt5721172,7.2,2437.0,49.402,7.7
ts85138,Dogs,SHOW,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances.",2018,TV-PG,50,"['documentation', 'reality', 'history']",['US'],2.0,tt9201008,8.0,1282.0,3.54,8.3
ts83251,Magic for Humans,SHOW,"From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.",2018,TV-14,23,"['reality', 'comedy']",['US'],3.0,tt8425308,7.1,3346.0,6.964,6.7
ts55348,QB1: Beyond the Lights,SHOW,"A 10-part docuseries following high-school quarterbacks, on and off the field, throughout their unforgettable senior seasons.",2017,TV-14,32,"['drama', 'reality', 'documentation', 'sport']",['US'],3.0,tt5771332,7.7,905.0,2.01,7.0
tm330869,Show Dogs,MOVIE,"Starring Will Arnett, Chris ""Ludacris"" Bridges, Natasha Lyonne, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Alan Cumming, and Stanley Tucci, SHOW DOGS is a family comedy about the unlikely pairing of a human detective (Arnett) and his canine partner (voice of Chris ""Ludacris"" Bridges), who has to go undercover at the world's most exclusive dog show to solve his biggest case yet.",2018,PG,92,"['comedy', 'crime', 'family']","['US', 'GB']",,tt5691024,3.8,4704.0,11.664,6.1
ts83763,Black Earth Rising,SHOW,"As a child, Kate Ashby was rescued from the horrific aftermath of the Rwandan genocide and brought to the UK. But the tragic shadow of her past proves impossible to escape.",2018,TV-MA,59,"['drama', 'crime', 'thriller']",['GB'],1.0,tt7660730,7.4,4917.0,5.831,7.1
ts86682,7 Days Out,SHOW,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",2018,TV-PG,47,['documentation'],['US'],1.0,tt9315990,6.7,544.0,0.663,9.0
tm285340,Girlfriend's Day,MOVIE,"When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin.",2017,,70,"['comedy', 'drama']",['US'],,tt2962984,5.2,4381.0,8.861,4.8
ts78217,Welcome to the Family,SHOW,"You don't choose family, family chooses you.",2018,TV-MA,48,['comedy'],['ES'],2.0,tt7490342,6.6,455.0,5.935,7.4
tm270999,The Resurrection of Gavin Stone,MOVIE,"Gavin Stone, a washed-up former child star, is forced to do community service at a local megachurch and pretends to be Christian so he can land the part of Jesus in their annual Passion Play, only to discover that the most important role of his life is far from Hollywood.",2017,PG,91,"['drama', 'comedy', 'family', 'romance']",['US'],,tt4902904,6.2,2269.0,3.2,6.3
ts85659,3Below: Tales of Arcadia,SHOW,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",2018,TV-Y7,22,"['scifi', 'action', 'comedy', 'family', 'fantasy', 'animation']",['US'],2.0,tt7736544,7.7,6158.0,27.194,7.7
ts77034,A Love So Beautiful,SHOW,"It tells the love story of two childhood sweethearts that spans 19 years. Chen Xiao Xi is a cute and small girl with a lot of positive energy. She gets to know Jiang Chen, a tall and proud genius boy, at school and tries everything to pursue him. The drama depicts the beautiful and pure heart throbbing love of seventeen years olds, but also delves into the topic of making mistakes andhow to find back to each other again.",2017,TV-14,41,"['comedy', 'romance']",['CN'],1.0,tt8434720,8.0,1420.0,42.708,8.4
ts224746,Millennials,SHOW,"Centered around 3 couples lives in Argentina as they deal with life, personal problems, and each other. Three boys work in the same office and each of their girlfriends end up becoming friends. Lies and drama build up and tie all of their lives together in a way.",2018,TV-MA,35,['drama'],['AR'],3.0,,,,2.503,8.5
tm349138,One of Us,MOVIE,"Penetrating the insular world of New York's Hasidic community, focusing on three individuals driven to break away despite threats of retaliation.",2017,,95,['documentation'],['US'],,tt7214842,7.0,6574.0,7.349,6.9
tm448122,Taylor Swift: Reputation Stadium Tour,MOVIE,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",2018,PG-13,125,"['music', 'documentation']",['US'],,tt9426852,8.3,5435.0,14.519,8.2
ts58152,Cathedral of the Sea,SHOW,"In the 14th century, Barcelona is experiencing one of its most prosperous moments. The city has grown to La Ribera, a fishing district in which the largest Marian temple ever known is built: Santa María del Mar. But the construction runs parallel to Arnau Estanyol, a serf of the land who, fleeing the abuses of The feudal lords of the countryside take refuge in Barcelona.",2018,TV-MA,57,"['drama', 'history']",['ES'],1.0,tt4944694,7.4,4450.0,13.03,7.1
ts83537,Signs,SHOW,"When a young woman's murder shows similarities to a decade-old cold case, a new police commander must break the silence permeating an Owl Mountain town.",2018,TV-MA,46,"['crime', 'thriller', 'european']",['PL'],2.0,tt8917248,6.3,1676.0,8.337,7.0
